Model,Train_Size,ROC_AUC,PR_AUC,Fraud_Precision,Fraud_Recall,Fraud_F1,Training_Time_Seconds
Logistic Regression,242085,0.9903,0.6993,0.0656,0.9189,0.1225,4.22
Random Forest,50000,0.9487,0.7457,0.8615,0.7568,0.8058,25.07
